Devices,Run,Algorithm,VCSize,ExecutionTime,Density,Error,ApproximationRatio,GraphFile
14,5,EdgeGreedy,12,0.0,0.6374,0.0,1.0,graphs/N14_run5_EdgeGreedy.png
15,1,BruteForce,12,19.0153,0.619,0.0,1.0,graphs/N15_run1_BruteForce.png
15,1,Backtracking,12,5.9834,0.619,0.0,1.0,graphs/N15_run1_Backtracking.png
15,1,Greedy,12,0.0,0.619,0.0,1.0,graphs/N15_run1_Greedy.png
15,1,EdgeGreedy,14,0.0,0.619,16.6667,1.1667,graphs/N15_run1_EdgeGreedy.png
15,2,BruteForce,12,17.9977,0.6095,0.0,1.0,graphs/N15_run2_BruteForce.png
15,2,Backtracking,12,7.0016,0.6095,0.0,1.0,graphs/N15_run2_Backtracking.png
15,2,Greedy,12,1.0006,0.6095,0.0,1.0,graphs/N15_run2_Greedy.png
15,2,EdgeGreedy,14,0.0,0.6095,16.6667,1.1667,graphs/N15_run2_EdgeGreedy.png
15,3,BruteForce,12,25.2337,0.581,0.0,1.0,graphs/N15_run3_BruteForce.png
15,3,Backtracking,12,5.9991,0.581,0.0,1.0,graphs/N15_run3_Backtracking.png
15,3,Greedy,12,0.0,0.581,0.0,1.0,graphs/N15_run3_Greedy.png
15,3,EdgeGreedy,14,0.0,0.581,16.6667,1.1667,graphs/N15_run3_EdgeGreedy.png
15,4,BruteForce,12,19.0654,0.7905,0.0,1.0,graphs/N15_run4_BruteForce.png
15,4,Backtracking,12,6.9818,0.7905,0.0,1.0,graphs/N15_run4_Backtracking.png
15,4,Greedy,12,0.0,0.7905,0.0,1.0,graphs/N15_run4_Greedy.png
15,4,EdgeGreedy,14,0.0,0.7905,16.6667,1.1667,graphs/N15_run4_EdgeGreedy.png
15,5,BruteForce,12,21.9963,0.5429,0.0,1.0,graphs/N15_run5_BruteForce.png
15,5,Backtracking,12,7.02,0.5429,0.0,1.0,graphs/N15_run5_Backtracking.png
15,5,Greedy,12,0.0,0.5429,0.0,1.0,graphs/N15_run5_Greedy.png
15,5,EdgeGreedy,14,0.0,0.5429,16.6667,1.1667,graphs/N15_run5_EdgeGreedy.png
16,1,BruteForce,13,53.9987,0.7333,0.0,1.0,graphs/N16_run1_BruteForce.png
16,1,Backtracking,13,19.0039,0.7333,0.0,1.0,graphs/N16_run1_Backtracking.png
16,1,Greedy,14,0.0,0.7333,7.6923,1.0769,graphs/N16_run1_Greedy.png
16,1,EdgeGreedy,16,0.0,0.7333,23.0769,1.2308,graphs/N16_run1_EdgeGreedy.png
16,2,BruteForce,13,41.9118,0.5667,0.0,1.0,graphs/N16_run2_BruteForce.png
16,2,Backtracking,13,9.9971,0.5667,0.0,1.0,graphs/N16_run2_Backtracking.png
16,2,Greedy,13,0.0,0.5667,0.0,1.0,graphs/N16_run2_Greedy.png
16,2,EdgeGreedy,16,0.0,0.5667,23.0769,1.2308,graphs/N16_run2_EdgeGreedy.png
16,3,BruteForce,13,38.8131,0.6333,0.0,1.0,graphs/N16_run3_BruteForce.png
16,3,Backtracking,13,12.0003,0.6333,0.0,1.0,graphs/N16_run3_Backtracking.png
16,3,Greedy,13,0.0,0.6333,0.0,1.0,graphs/N16_run3_Greedy.png
16,3,EdgeGreedy,16,0.0,0.6333,23.0769,1.2308,graphs/N16_run3_EdgeGreedy.png
16,4,BruteForce,13,55.0041,0.825,0.0,1.0,graphs/N16_run4_BruteForce.png
16,4,Backtracking,13,17.9958,0.825,0.0,1.0,graphs/N16_run4_Backtracking.png
16,4,Greedy,13,0.0,0.825,0.0,1.0,graphs/N16_run4_Greedy.png
16,4,EdgeGreedy,14,0.0,0.825,7.6923,1.0769,graphs/N16_run4_EdgeGreedy.png
16,5,BruteForce,13,62.0005,0.575,0.0,1.0,graphs/N16_run5_BruteForce.png
16,5,Backtracking,13,16.9988,0.575,0.0,1.0,graphs/N16_run5_Backtracking.png
16,5,Greedy,13,0.0,0.575,0.0,1.0,graphs/N16_run5_Greedy.png
16,5,EdgeGreedy,14,0.0,0.575,7.6923,1.0769,graphs/N16_run5_EdgeGreedy.png
17,1,BruteForce,14,119.6952,0.6691,0.0,1.0,graphs/N17_run1_BruteForce.png
17,1,Backtracking,14,31.2188,0.6691,0.0,1.0,graphs/N17_run1_Backtracking.png
17,1,Greedy,15,0.9995,0.6691,7.1429,1.0714,graphs/N17_run1_Greedy.png
17,1,EdgeGreedy,16,0.0,0.6691,14.2857,1.1429,graphs/N17_run1_EdgeGreedy.png
17,2,BruteForce,14,130.8796,0.5809,0.0,1.0,graphs/N17_run2_BruteForce.png
17,2,Backtracking,14,27.9992,0.5809,0.0,1.0,graphs/N17_run2_Backtracking.png
17,2,Greedy,14,0.0,0.5809,0.0,1.0,graphs/N17_run2_Greedy.png
17,2,EdgeGreedy,16,0.0,0.5809,14.2857,1.1429,graphs/N17_run2_EdgeGreedy.png
17,3,BruteForce,15,130.8341,0.7794,0.0,1.0,graphs/N17_run3_BruteForce.png
17,3,Backtracking,15,58.1012,0.7794,0.0,1.0,graphs/N17_run3_Backtracking.png
17,3,Greedy,15,0.9999,0.7794,0.0,1.0,graphs/N17_run3_Greedy.png
17,3,EdgeGreedy,16,0.0,0.7794,6.6667,1.0667,graphs/N17_run3_EdgeGreedy.png
17,4,BruteForce,14,91.5151,0.5956,0.0,1.0,graphs/N17_run4_BruteForce.png
17,4,Backtracking,14,22.9881,0.5956,0.0,1.0,graphs/N17_run4_Backtracking.png
17,4,Greedy,14,0.0,0.5956,0.0,1.0,graphs/N17_run4_Greedy.png
17,4,EdgeGreedy,16,0.0,0.5956,14.2857,1.1429,graphs/N17_run4_EdgeGreedy.png
17,5,BruteForce,14,115.3045,0.6324,0.0,1.0,graphs/N17_run5_BruteForce.png
17,5,Backtracking,14,31.0841,0.6324,0.0,1.0,graphs/N17_run5_Backtracking.png
17,5,Greedy,14,0.0,0.6324,0.0,1.0,graphs/N17_run5_Greedy.png
17,5,EdgeGreedy,16,0.0,0.6324,14.2857,1.1429,graphs/N17_run5_EdgeGreedy.png
18,1,BruteForce,15,252.9008,0.7255,0.0,1.0,graphs/N18_run1_BruteForce.png
18,1,Backtracking,15,79.5531,0.7255,0.0,1.0,graphs/N18_run1_Backtracking.png
18,1,Greedy,15,0.9823,0.7255,0.0,1.0,graphs/N18_run1_Greedy.png
18,1,EdgeGreedy,18,0.0,0.7255,20.0,1.2,graphs/N18_run1_EdgeGreedy.png
18,2,BruteForce,15,272.2087,0.7386,0.0,1.0,graphs/N18_run2_BruteForce.png
18,2,Backtracking,15,49.1698,0.7386,0.0,1.0,graphs/N18_run2_Backtracking.png
18,2,Greedy,15,1.0002,0.7386,0.0,1.0,graphs/N18_run2_Greedy.png
18,2,EdgeGreedy,18,0.0,0.7386,20.0,1.2,graphs/N18_run2_EdgeGreedy.png
18,3,BruteForce,15,225.4429,0.549,0.0,1.0,graphs/N18_run3_BruteForce.png
18,3,Backtracking,15,50.0,0.549,0.0,1.0,graphs/N18_run3_Backtracking.png
18,3,Greedy,15,0.0,0.549,0.0,1.0,graphs/N18_run3_Greedy.png
